Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1330349;1000007021545727270;63806103215210;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.076, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.758;13.304;VALID;(-0.005, 0.085, 0.996);(0.034, 0.000, 0.000);0.288;3.784;13.131;0.3444431;0
1330350;1000007021550725608;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.756;13.304;VALID;(-0.005, 0.085, 0.996);(0.034, 0.000, 0.000);0.288;3.783;13.131;0.3437617;0
1330351;1000007021555724402;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.753;13.304;VALID;(-0.005, 0.086, 0.996);(0.034, 0.000, 0.000);0.288;3.781;13.131;0.3437741;0
1330352;1000007021560726823;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.752;13.304;VALID;(-0.006, 0.087, 0.996);(0.034, 0.000, 0.000);0.288;3.776;13.131;0.342939;0
1330353;1000007021565729371;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.749;13.304;VALID;(-0.006, 0.086, 0.996);(0.034, 0.000, 0.000);0.287;3.775;13.131;0.3441953;0
1330354;1000007021570732045;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.747;13.304;VALID;(-0.005, 0.087, 0.996);(0.034, 0.000, 0.000);0.287;3.773;13.131;0.3448866;0
1330355;1000007021575734845;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.187, 0.069, 0.980);(-0.034, 0.000, 0.000);0.281;3.744;13.304;VALID;(-0.005, 0.087, 0.996);(0.034, 0.000, 0.000);0.287;3.770;13.131;0.3452921;0
1330356;1000007021580737636;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.069, 0.980);(-0.034, 0.000, 0.000);0.281;3.742;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.287;3.765;13.131;0.3440816;0
1330357;1000007021585740417;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.079, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.069, 0.980);(-0.034, 0.000, 0.000);0.281;3.741;13.304;VALID;(-0.006, 0.088, 0.996);(0.034, 0.000, 0.000);0.286;3.761;13.131;0.3437823;0
1330358;1000007021590743189;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.281;3.739;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.286;3.760;13.131;0.3442469;0
1330359;1000007021595745951;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.079, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.281;3.735;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.754;13.131;0.3441439;0
1330360;1000007021600748703;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.187, 0.068, 0.980);(-0.034, 0.000, 0.000);0.280;3.731;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.753;13.131;0.3442488;0
1330361;1000007021605751337;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.280;3.728;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.750;13.131;0.3434024;0
1330362;1000007021610753827;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.280;3.725;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.750;13.131;0.3429287;0
1330363;1000007021615756173;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.279;3.713;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.748;13.131;0.3424574;0
1330364;1000007021620758376;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.279;3.707;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.747;13.131;0.3422839;0
1330365;1000007021625760435;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.278;3.705;13.304;VALID;(-0.005, 0.090, 0.996);(0.034, 0.000, 0.000);0.285;3.744;13.131;0.3415153;0
1330366;1000007021630762352;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.067, 0.980);(-0.034, 0.000, 0.000);0.278;3.704;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.742;13.131;0.3411189;0
1330367;1000007021635758788;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.066, 0.980);(-0.034, 0.000, 0.000);0.278;3.703;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.741;13.131;0.3408243;0
1330368;1000007021640756815;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.066, 0.980);(-0.034, 0.000, 0.000);0.278;3.699;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.740;13.131;0.3405403;0
1330369;1000007021645755573;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.066, 0.980);(-0.034, 0.000, 0.000);0.278;3.697;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.739;13.131;0.3404848;0
1330370;1000007021650757958;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.066, 0.980);(-0.034, 0.000, 0.000);0.278;3.694;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.738;13.131;0.3412214;0
1330371;1000007021655760470;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.066, 0.980);(-0.034, 0.000, 0.000);0.278;3.694;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.284;3.736;13.131;0.3408101;0
1330372;1000007021660763109;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.065, 0.980);(-0.034, 0.000, 0.000);0.278;3.693;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.284;3.732;13.131;0.3403952;0
1330373;1000007021665765874;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.190, 0.065, 0.980);(-0.034, 0.000, 0.000);0.278;3.693;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.284;3.730;13.131;0.3401821;0
1330374;1000007021670768659;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.190, 0.065, 0.980);(-0.034, 0.000, 0.000);0.277;3.692;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.284;3.728;13.131;0.3397506;0
1330375;1000007021675771434;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.190, 0.065, 0.980);(-0.034, 0.000, 0.000);0.277;3.690;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.284;3.726;13.131;0.3391689;0
1330376;1000007021680774199;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.191, 0.065, 0.980);(-0.034, 0.000, 0.000);0.277;3.689;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.283;3.718;13.131;0.3383804;0
1330377;1000007021685776955;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.191, 0.065, 0.979);(-0.034, 0.000, 0.000);0.277;3.688;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.283;3.716;13.131;0.3378016;0
1330378;1000007021690779702;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.191, 0.065, 0.979);(-0.034, 0.000, 0.000);0.277;3.687;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.283;3.715;13.131;0.3371634;0
1330379;1000007021695782439;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.192, 0.064, 0.979);(-0.034, 0.000, 0.000);0.277;3.682;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.283;3.714;13.131;0.3366603;0
1330380;1000007021700785058;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.192, 0.064, 0.979);(-0.034, 0.000, 0.000);0.277;3.679;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.283;3.713;13.131;0.3364526;0
1330381;1000007021705787535;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.111, 0.076, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.192, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.678;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.283;3.711;13.131;0.3362695;0
1330382;1000007021710789868;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.111, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.192, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.676;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.282;3.709;13.131;0.3359315;0
1330383;1000007021715792058;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.113, 0.076, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.193, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.675;13.304;VALID;(-0.004, 0.088, 0.996);(0.034, 0.000, 0.000);0.282;3.707;13.131;0.3355919;0
1330384;1000007021720794104;63806103215212;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.113, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.193, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.672;13.304;VALID;(-0.004, 0.088, 0.996);(0.034, 0.000, 0.000);0.282;3.704;13.131;0.3353027;0
1330385;1000007021725791151;63806103215212;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.076, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.193, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.669;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.282;3.702;13.131;0.3352908;0
1330386;1000007021730788598;63806103215212;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.076, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.193, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.668;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.282;3.698;13.131;0.3350824;0
1330387;1000007021735787296;63806103215212;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.194, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.667;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.281;3.695;13.131;0.3347898;0
1330388;1000007021740786133;63806103215212;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.194, 0.065, 0.979);(-0.034, 0.000, 0.000);0.276;3.666;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.281;3.692;13.131;0.3343244;0
1330389;1000007021745788598;63806103215212;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.194, 0.066, 0.979);(-0.034, 0.000, 0.000);0.275;3.665;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.281;3.690;13.131;0.3335937;0
1330390;1000007021750791189;63806103215212;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.195, 0.066, 0.979);(-0.034, 0.000, 0.000);0.275;3.663;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.281;3.687;13.131;0.3329358;0
1330391;1000007021755793907;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.195, 0.066, 0.979);(-0.034, 0.000, 0.000);0.275;3.661;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.280;3.683;13.131;0.3324098;0
1330392;1000007021760796669;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.195, 0.066, 0.979);(-0.034, 0.000, 0.000);0.275;3.660;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.280;3.679;13.131;0.332179;0
1330393;1000007021765799422;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.195, 0.066, 0.979);(-0.034, 0.000, 0.000);0.275;3.659;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.280;3.677;13.131;0.331975;0
1330394;1000007021770802166;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.113, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.196, 0.066, 0.978);(-0.034, 0.000, 0.000);0.275;3.657;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.280;3.675;13.131;0.3313977;0
1330395;1000007021775804900;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.113, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.196, 0.066, 0.978);(-0.034, 0.000, 0.000);0.275;3.656;13.304;VALID;(-0.005, 0.087, 0.996);(0.034, 0.000, 0.000);0.280;3.673;13.131;0.3305334;0
1330396;1000007021780807624;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.113, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.196, 0.067, 0.978);(-0.034, 0.000, 0.000);0.275;3.655;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.669;13.131;0.3305328;0
1330397;1000007021785810339;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.113, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.197, 0.067, 0.978);(-0.034, 0.000, 0.000);0.275;3.654;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.667;13.131;0.3304043;0
1330398;1000007021790813045;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.197, 0.067, 0.978);(-0.034, 0.000, 0.000);0.275;3.653;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.665;13.131;0.3304753;0
1330399;1000007021795815660;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.990);(0.000, 0.000, 0.000);67.875;VALID;(0.197, 0.067, 0.978);(-0.034, 0.000, 0.000);0.275;3.652;13.304;VALID;(-0.004, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.663;13.131;0.3303336;0
1330400;1000007021800818129;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.116, 0.077, 0.990);(0.000, 0.000, 0.000);67.875;VALID;(0.197, 0.067, 0.978);(-0.034, 0.000, 0.000);0.274;3.651;13.304;VALID;(-0.003, 0.086, 0.996);(0.034, 0.000, 0.000);0.278;3.653;13.131;0.3311359;0
1330401;1000007021805820481;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.114, 0.077, 0.990);(0.000, 0.000, 0.000);67.875;VALID;(0.196, 0.067, 0.978);(-0.034, 0.000, 0.000);0.274;3.649;13.304;VALID;(-0.004, 0.086, 0.996);(0.034, 0.000, 0.000);0.277;3.633;13.131;0.3323451;0
1330402;1000007021810822690;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.113, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.196, 0.067, 0.978);(-0.034, 0.000, 0.000);0.274;3.649;13.304;VALID;(-0.005, 0.086, 0.996);(0.034, 0.000, 0.000);0.277;3.634;13.131;0.3317484;0
1330403;1000007021815821268;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.112, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.195, 0.067, 0.979);(-0.034, 0.000, 0.000);0.274;3.649;13.304;VALID;(-0.006, 0.087, 0.996);(0.034, 0.000, 0.000);0.277;3.636;13.131;0.330789;0
1330404;1000007021820819900;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.111, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.194, 0.067, 0.979);(-0.034, 0.000, 0.000);0.274;3.649;13.304;VALID;(-0.007, 0.087, 0.996);(0.034, 0.000, 0.000);0.277;3.639;13.131;0.3296939;0
1330405;1000007021825818595;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.193, 0.067, 0.979);(-0.034, 0.000, 0.000);0.274;3.649;13.304;VALID;(-0.009, 0.087, 0.996);(0.034, 0.000, 0.000);0.277;3.640;13.131;0.3290022;0
1330406;1000007021830817430;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.191, 0.067, 0.979);(-0.034, 0.000, 0.000);0.274;3.648;13.304;VALID;(-0.010, 0.087, 0.996);(0.034, 0.000, 0.000);0.278;3.649;13.131;0.3301736;0
1330407;1000007021835819890;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.189, 0.067, 0.980);(-0.034, 0.000, 0.000);0.274;3.647;13.304;VALID;(-0.012, 0.087, 0.996);(0.034, 0.000, 0.000);0.278;3.649;13.131;0.3298433;0
1330408;1000007021840822477;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.274;3.646;13.304;VALID;(-0.014, 0.087, 0.996);(0.034, 0.000, 0.000);0.278;3.649;13.131;0.3292083;0
1330409;1000007021845825190;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.077, 0.992);(0.000, 0.000, 0.000);67.875;VALID;(0.186, 0.067, 0.980);(-0.034, 0.000, 0.000);0.274;3.646;13.304;VALID;(-0.016, 0.087, 0.996);(0.034, 0.000, 0.000);0.278;3.649;13.131;0.3284312;0
1330410;1000007021850828002;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.185, 0.067, 0.981);(-0.034, 0.000, 0.000);0.274;3.645;13.304;VALID;(-0.017, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.663;13.131;0.3296366;0
1330411;1000007021855830804;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.183, 0.067, 0.981);(-0.034, 0.000, 0.000);0.274;3.644;13.304;VALID;(-0.018, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.662;13.131;0.3293221;0
1330412;1000007021860833596;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.182, 0.067, 0.981);(-0.034, 0.000, 0.000);0.274;3.644;13.304;VALID;(-0.018, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.666;13.131;0.3320932;0
1330413;1000007021865836379;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.181, 0.067, 0.981);(-0.034, 0.000, 0.000);0.274;3.643;13.304;VALID;(-0.019, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.662;13.131;0.3333098;0
1330414;1000007021870839152;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.180, 0.067, 0.981);(-0.034, 0.000, 0.000);0.274;3.643;13.304;VALID;(-0.021, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.665;13.131;0.3307497;0
1330415;1000007021875841915;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.179, 0.067, 0.982);(-0.034, 0.000, 0.000);0.274;3.642;13.304;VALID;(-0.024, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.665;13.131;0.3282094;0
1330416;1000007021880844669;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.178, 0.068, 0.982);(-0.034, 0.000, 0.000);0.274;3.642;13.304;VALID;(-0.026, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.665;13.131;0.325569;0
1330417;1000007021885847413;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.178, 0.068, 0.982);(-0.034, 0.000, 0.000);0.274;3.642;13.304;VALID;(-0.028, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.663;13.131;0.3233115;0
1330418;1000007021890850039;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.178, 0.068, 0.982);(-0.034, 0.000, 0.000);0.274;3.642;13.304;VALID;(-0.029, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.663;13.131;0.3221593;0
1330419;1000007021895852520;63806103215229;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.177, 0.068, 0.982);(-0.034, 0.000, 0.000);0.274;3.642;13.304;VALID;(-0.030, 0.087, 0.996);(0.034, 0.000, 0.000);0.279;3.660;13.131;0.3217824;0
